PIRSF000001	cytochrome c/cytochrome c2
PIRSF000606	ribosomal protein S6 kinase II
PIRSF000607	serine/threonine-protein kinase, DBF2 type
PIRSF000608	serine/threonine-protein kinase AKL1
PIRSF000609	serine/threonine-protein kinase YKL116C
PIRSF000610	serine/threonine-protein kinase YKL171W
PIRSF000611	serine/threonine-protein kinase MPS1
PIRSF000613	RAC serine/threonine-protein kinase
PIRSF000615	tyrosine-protein kinase, CSF-1/PDGF receptor type
PIRSF000617	tyrosine-protein kinase, HGF/MSP receptor type
PIRSF000619	tyrosine-protein kinase, EGF receptor type
PIRSF000620	insulin receptor
PIRSF000621	Drosophila insulin receptor
PIRSF000623	high affinity nerve growth factor receptor-like protein kinase
PIRSF000624	tyrosine-protein kinase transmembrane receptor ROR
PIRSF000627	type II serine/threonine-protein kinase receptor, Activin/BMP types
PIRSF000628	fibroblast growth factor receptor
PIRSF000629	tyrosine-protein kinase receptor TYRO3/UFO/MER type
PIRSF000630	protein-tyrosine kinase, receptor type tie
PIRSF000631	tyrosine-protein kinase, Ret receptor type
PIRSF000632	tyrosine-protein kinase, Fes/Fps type
PIRSF000633	tyrosine-protein kinase, ABL type
PIRSF000634	Abelson murine leukemia virus gag-abl polyprotein
PIRSF000636	tyrosine-protein kinase, Jak/Tyk2 type
PIRSF000638	kinase-related protein ros
PIRSF000639	ictalurid herpesvirus 44K protein kinase
PIRSF000641	receptor kinase, S-locus SRK type
PIRSF000642	receptor-like protein kinase
PIRSF000645	serine/threonine-protein kinase, SpkF type
PIRSF000646	serine/threonine-protein kinase, SpkD type
PIRSF000647	serine/threonine-protein kinase with pentapeptide domains
PIRSF000648	serine/threonine-protein kinase, PksC type
PIRSF000649	serine/threonine-protein kinase, PkaA type
PIRSF000650	probable serine/threonine-specific protein kinase ATPK64
PIRSF000653	herpesvirus protein-serine/threonine kinase
PIRSF000654	integrin-linked protein kinase
PIRSF000656	dual specificity testis-specific protein kinase
PIRSF000657	serine/threonine-protein kinase, Asfivirus type
PIRSF000659	cell division control protein
PIRSF000660	serine/threonine-protein kinase, GCN2 type
PIRSF000661	serine/threonine-protein kinase RAD53
PIRSF000662	protein kinase DUN1
PIRSF000664	protein kinase Byr2
PIRSF000666	tyrosine-protein kinase, ephrin receptor type
PIRSF000668	serine/threonine-protein kinase YloP
PIRSF000675	tyrosine-protein kinase
PIRSF000676	homoserine kinase
PIRSF000677	homoserine kinase
PIRSF000678	pyruvate kinase
PIRSF000679	phosphatidylinositol-4-phosphate 5-kinase type II alpha
PIRSF000682	phosphotransferase system mannose-specific enzyme II, factor II-M
PIRSF000683	phosphotransferase system mannose-specific enzyme II, factor II-P
PIRSF000684	PTS system fructose-specific EIIB component
PIRSF000685	PTS system, mannitol-specific EIICBA component
PIRSF000686	PTS system, mannitol-specific cryptic EIICB component
PIRSF000687	PTS system, mannitol-specific EIIA component
PIRSF000688	fructose phosphotransferase protein
PIRSF000689	multiphosphoryl transfer protein
PIRSF000690	fructose PTS diphosphoryl transfer protein
PIRSF000691	phosphotransferase system sucrose-specific enzyme II, factor II
PIRSF000692	phosphotransferase system enzyme II sucrose-specific
PIRSF000695	phosphotransferase system N-acetylglucosamine-specific enzyme II
PIRSF000697	phosphotransferase system glucose-specific enzyme II, factor III
PIRSF000698	PTS system, glucitol/sorbitol-specific IIA component
PIRSF000699	phosphotransferase system, lactose/cellobiose-specific component IIA
PIRSF000700	deoxynucleotide monophosphate kinase
PIRSF000701	polynucleotide kinase, phage T4 type
PIRSF000702	shikimate kinase
PIRSF000703	streptomycin 6-kinase
PIRSF000705	deoxynucleoside kinase
PIRSF000706	aminoglycoside 3'-phosphotransferase (kanamycin kinase)
PIRSF000707	hygromycin-B kinase
PIRSF000708	hygromycin B phosphotransferase
PIRSF000709	bifunctional 6-phosphofructo-2-kinase/fructose-2,6-bisphosphate 2-phosphatase
PIRSF000711	6-phosphofructo-2-kinase, PFK27 type
PIRSF000714	histidine triad hydrolase
PIRSF000715	diacylglycerol kinase
PIRSF000717	diacylglycerol kinase, Proteobacteria type
PIRSF000718	branched-chain alpha-keto acid dehydrogenase kinase
PIRSF000719	isocitrate dehydrogenase kinase/phosphatase AceK
PIRSF000722	acetate/propionate kinase
PIRSF000723	carbamate kinase
PIRSF000724	phosphoglycerate kinase
PIRSF000725	2-phosphoglycerate kinase
PIRSF000726	aspartate kinase
PIRSF000727	bifunctional aspartokinase/homoserine dehydrogenase I
PIRSF000728	N-acetylglutamate kinase
PIRSF000729	glutamate 5-kinase
PIRSF000730	creatine kinase
PIRSF000732	phosphoenolpyruvate-protein phosphotransferase
PIRSF000733	human cytomegalovirus phosphotransferase
PIRSF000734	adenylate kinase
PIRSF000735	nucleoside diphosphate kinase
PIRSF000736	guanylate kinase
PIRSF000737	thymidylate kinase
PIRSF000738	ribose-phosphate pyrophosphokinase catalytic chain
PIRSF000739	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
PIRSF000740	bifunctional folate biosynthesis enzyme SulD
PIRSF000741	folic acid biosynthesis protein
PIRSF000742	DNA-directed RNA polymerase
PIRSF000743	DNA-directed RNA polymerase, RPO19 subunit
PIRSF000744	DNA-directed RNA polymerase, RPO22 subunit
PIRSF000745	DNA-directed RNA polymerase, subunit 30, chordopox type
PIRSF000746	DNA-directed RNA polymerase, RPO35 subunit
PIRSF000747	DNA-directed RNA polymerase, RPB5 subunit
PIRSF000748	DNA-directed RNA polymerase, subunit H
PIRSF000749	DNA-directed RNA polymerase II, RPB3 subunit
PIRSF000750	DNA-directed RNA polymerase 40K chain
PIRSF000751	DNA-directed RNA polymerase, subunit D
PIRSF000752	DNA-directed RNA polymerase, alpha subunit
PIRSF000754	DNA-directed RNA polymerase II
PIRSF000756	DNA-directed RNA polymerase II largest subunit
PIRSF000757	DNA-directed RNA polymerase I, subunit RPA1
PIRSF000759	DNA-directed RNA polymerase I/III, large subunit
PIRSF000761	vaccinia virus DNA-directed RNA polymerase 147K chain
PIRSF000762	DNA-directed RNA polymerase, subunit A'
PIRSF000763	chloroplast DNA-directed RNA polymerase beta'-1 chain
PIRSF000764	DNA-directed RNA polymerase, beta'/beta'' subunit
PIRSF000765	DNA-directed RNA polymerase 132K polypeptide
PIRSF000766	transcription initiation factor sigma 70
PIRSF000767	RNA polymerase sigma factor, plastid SigB/SigC/SigD types
PIRSF000769	transcription sigma factor, G type
PIRSF000770	RNA polymerase sporulation-specific sigma factor, SigK/SigE types
PIRSF000771	transcription initiation factor sigma KatF
PIRSF000772	transcription initiation factor sigma
PIRSF000773	transcription initiation factor sigma MysA
PIRSF000774	RNA polymerase sigma-54 factor
PIRSF000775	DNA-directed RNA polymerase, omega subunit, bacterial type
PIRSF000776	DNA-directed RNA polymerase, delta subunit
PIRSF000777	DNA-directed RNA polymerase III, C31 subunit, yeast type
PIRSF000778	DNA-directed RNA polymerase, subunit K/RPB6 subunit
PIRSF000779	DNA-directed RNA polymerase, RPB8 subunit
PIRSF000781	hepatitis virus DNA-directed DNA polymerase
PIRSF000787	DNA polymerase, ictalurid herpesvirus type
PIRSF000788	DNA polymerase, Adenovirus type
PIRSF000789	DNA polymerase
PIRSF000790	DNA-directed DNA polymerase beta
PIRSF000791	DNA-directed DNA polymerase delta regulatory chain
PIRSF000792	phage T7 DNA-directed DNA polymerase phage chain
PIRSF000793	phage T4 DNA-directed DNA polymerase
PIRSF000795	DNA polymerase, Enterobacteria phage PRD1 type
PIRSF000797	DNA-directed DNA polymerase, mitochondrial type
PIRSF000798	DNA-directed DNA polymerase II
PIRSF000799	DNA polymerase epsilon, subunit B
PIRSF000801	DNA-directed DNA polymerase III alpha chain
PIRSF000802	DNA-directed DNA polymerase III gamma chain
PIRSF000803	DNA polymerase II, small subunit, archaeal type
PIRSF000804	DNA polymerase III, beta subunit
PIRSF000806	UTP--glucose-1-phosphate uridylyltransferase
PIRSF000808	galactose-1-phosphate uridylyltransferase
PIRSF000809	choline-phosphate cytidylyltransferase
PIRSF000810	glucose-1-phosphate thymidylytransferase
PIRSF000811	AAD(2'') aminoglycoside adenylyltransferase
PIRSF000812	aminoglycoside 6-adenylyltransferase
PIRSF000813	tRNA nucleotidyltransferase (CCA-adding enzyme), Proteobacteria type
PIRSF000814	poly(A) polymerase/tRNA nucleotidyltransferase
PIRSF000815	glucose-1-phosphate adenylyltransferase
PIRSF000816	3-deoxy-manno-octulosonate cytidylyltransferase
PIRSF000817	DNA nucleotidyltransferase
PIRSF000818	phosphatidate cytidylyltransferase, bacterial type
PIRSF000819	streptomycin 3"-adenylyltransferase
PIRSF000820	phage MS2 RNA-directed RNA polymerase
PIRSF000821	RNA-directed RNA polymerase, Orbivirus type
PIRSF000822	RNA-directed RNA polymerase, Phytoreovirus type
PIRSF000823	rabbit calicivirus RNA-directed RNA polymerase
PIRSF000824	RNA-directed RNA polymerase, Orthobunyavirus type
PIRSF000825	RNA-directed RNA polymerase, Hantavirus type
PIRSF000826	RNA-directed RNA polymerase, Phlebovirus type
PIRSF000827	RNA-directed RNA polymerase, subunit PB1, Orthomyxoviridae type
PIRSF000828	influenza virus RNA-directed RNA polymerase 2
PIRSF000829	influenza virus RNA-directed RNA polymerase 3
PIRSF000830	RNA-directed RNA polymerase, Paramyxoviridae type
PIRSF000833	replicase polyprotein 1ab, Coronaviridae type
PIRSF000836	RNA-directed RNA polymerase, Arenaviridae type
PIRSF000837	major coat protein, yeast virus L-A type
PIRSF000838	carnation mottle virus RNA-directed RNA polymerase
PIRSF000840	potato leaf roll virus RNA-directed RNA polymerase
PIRSF000842	barley yellow dwarf virus RNA-directed RNA polymerase 38.8K chain
PIRSF000843	reverse transcriptase
PIRSF000845	mRNA capping enzyme, Reovirus type
PIRSF000846	ATP adenylyltransferase
PIRSF000847	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
PIRSF000848	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
PIRSF000849	phospho-N-acetylmuramoyl-pentapeptide-transferase
PIRSF000850	phospholipase D, PSS type
PIRSF000851	phosphatidylcholine synthase
PIRSF000853	pyruvate, phosphate dikinase
PIRSF000854	phosphoenolpyruvate synthase
PIRSF000856	PAPS sulfotransferase
PIRSF000857	phosphoadenosine phosphosulfate reductase
PIRSF000858	3-oxoacid CoA-transferase
PIRSF000859	CoA transferase, alpha subunit
PIRSF000861	cutinase
PIRSF000862	lipase, eukaryotic type
PIRSF000863	triacylglycerol lipase
PIRSF000865	lipoprotein lipase, LIPH type
PIRSF000866	phospholipase A2
PIRSF000867	cytosolic phospholipase A2
PIRSF000868	14-3-3 protein
PIRSF000869	monoglyceride lipase/lysophospholipase
PIRSF000870	lysophospholipase
PIRSF000872	probable esterase
PIRSF000874	tannase
PIRSF000875	3-oxoadipate enol-lactonase
PIRSF000876	chemotaxis response regulator methylesterase, CheB type
PIRSF000877	outer membrane phospholipase A
PIRSF000878	acyloxyacyl hydrolase
PIRSF000879	carboxymethylenebutenolidase (dienelactone hydrolase)
PIRSF000880	erythromycin esterase
PIRSF000881	type II thioesterase, NRPS/PKS/S-FAS types
PIRSF000882	double-strand break repair protein MRE11
PIRSF000883	phosphoesterase, MJ0912 type
PIRSF000884	phosphoesterase, MJ1445 type
PIRSF000885	multifunctional phosphoesterase, YfkN type
PIRSF000886	metallophosphoesterase-fold protein, Vps29 type
PIRSF000887	phosphoesterase, MJ0037 type
PIRSF000888	membrane-bound phosphoesterase, HP1044 type
PIRSF000889	phosphodiesterase, YaeI type
PIRSF000891	alkaline phosphatase
PIRSF000892	alkaline phosphatase, Synechocystis PhoA type
PIRSF000893	alkaline phosphatase precursor
PIRSF000894	acid phosphatase
PIRSF000895	phosphoglycolate phosphatase
PIRSF000896	acid phosphatase
PIRSF000897	nonspecific acid phosphatase, class A
PIRSF000898	acid phosphatase, type 5
PIRSF000899	purple acid phosphatase, kidney bean type
PIRSF000900	acid phosphatase, Aspergillus type
PIRSF000901	phosphoserine phosphatase
PIRSF000902	UDP-sugar hydrolase/5'-nucleotidase/apyrase
PIRSF000903	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
PIRSF000904	fructose-1,6-bisphosphatase/sedoheptulose-1,7-bisphosphatase
PIRSF000905	glucose-6-phosphatase
PIRSF000906	fructose-1,6-bisphosphatase, Bacillus type
PIRSF000907	serine/threonine-protein phosphatase 1, prokaryotic type
PIRSF000908	serine/threonine-protein phosphatase, conventional type
PIRSF000909	serine/threonine-protein phosphatase, PPZ type
PIRSF000911	serine/threonine protein phosphatase 2B catalytic subunit
PIRSF000912	serine/threonine-protein phosphatase with EF-hands
PIRSF000914	phosphatidylglycerophosphatase B
PIRSF000915	monoester phosphate phosphatase, PGP type
PIRSF000916	tyrosine-protein phosphatase, low molecular weight
PIRSF000917	protein-tyrosine-phosphatase Cdc25C
PIRSF000918	protein-tyrosine-phosphatase Cdc25A
PIRSF000919	tyrosine-protein phosphatases string/twine
PIRSF000921	protein-tyrosine-phosphatase NimT
PIRSF000924	Schizosaccharomyces protein-tyrosine-phosphatase, nonreceptor type Pyp2
PIRSF000925	tyrosine-protein phosphatase
PIRSF000926	non-receptor tyrosine-protein phosphatase, 1/2 types
PIRSF000927	non-receptor tyrosine-protein phosphatase, 3/4 types
PIRSF000928	protein-tyrosine-phosphatase, nonreceptor type 5
PIRSF000929	non-receptor tyrosine-protein phosphatase, 6/11 types
PIRSF000930	non-receptor tyrosine-protein phosphatase, 8/22 types
PIRSF000931	non-receptor tyrosine-protein phosphatase, type 9
PIRSF000932	non-receptor tyrosine-protein phosphatase, type 12
PIRSF000933	non-receptor tyrosine-protein phosphatase, type 13
PIRSF000934	non-receptor tyrosine-protein phosphatase, 14/21 types
PIRSF000935	protein-tyrosine-phosphatase, nonreceptor type PTP61F
PIRSF000936	tyrosine-protein phosphatase, Dictyostelium non-receptor type 1
PIRSF000937	tyrosine-protein phosphatase, Dictyostelium non-receptor type 2
PIRSF000938	non-receptor tyrosine-protein phosphatase, yeast type 1
PIRSF000939	dual specificity protein phosphatase (MAP kinase phosphatase)
PIRSF000940	dual specificity phosphoprotein phosphatase DUSP3
PIRSF000941	dual specificity protein phosphatase 12
PIRSF000942	tyrosine-protein phosphatase MSG5
PIRSF000943	probable dual specificity phosphoprotein phosphatase
PIRSF000944	dual specificity protein phosphatase PPS1
PIRSF000945	Nostoc dual specificity phosphoprotein phosphatase IphP
PIRSF000946	5'-3' exonuclease, phage T5 type
PIRSF000947	1-phosphatidylinositol phosphodiesterase
PIRSF000948	sphingomyelin phosphodiesterase (acid sphingomyelinase)
PIRSF000949	inactive phospholipase C-like protein
PIRSF000950	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1
PIRSF000951	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase
PIRSF000952	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma
PIRSF000953	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase
PIRSF000954	phosphatidylinositol-specific Phospholipase C
PIRSF000956	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta
PIRSF000958	2',3'-cyclic-nucleotide 2'-phosphodiesterase
PIRSF000960	3',5'-cyclic-nucleotide phosphodiesterase 1B, calmodulin-dependent
PIRSF000961	3',5'-cyclic-nucleotide phosphodiesterase, cGMP-stimulated
PIRSF000962	3',5'-cyclic-nucleotide phosphodiesterase
PIRSF000963	3',5'-cyclic-nucleotide phosphodiesterase 8A, high affinity cAMP-specific
PIRSF000964	Caenorhabditis probable 3',5'-cyclic-nucleotide phosphodiesterase R08D7.6
PIRSF000965	3',5'-cyclic-nucleotide phosphodiesterase, Icc type
PIRSF000966	3',5'-cyclic-nucleotide phosphodiesterase with LMW-phosphatase domain
PIRSF000967	3',5'-cyclic-GMP phosphodiesterase 5A
PIRSF000968	3',5'-cyclic-GMP phosphodiesterase alpha chain
PIRSF000969	3',5'-cyclic-GMP phosphodiesterase, gamma subunit
PIRSF000970	2',3'-cyclic-nucleotide 3'-phosphodiesterase
PIRSF000971	arylsulfatase-like protein
PIRSF000972	arylsulfatase, plant type
PIRSF000973	guanosine 3',5'-bis(diphosphate) 3'-pyrophosphatase
PIRSF000974	(p)ppGpp synthetase
PIRSF000975	DNA double-strand break repair complex, Mre11/SbcD subunit
PIRSF000977	exodeoxyribonuclease I
PIRSF000979	exodeoxyribonuclease V 135K chain
PIRSF000980	exodeoxyribonuclease V, gamma subunit
PIRSF000981	exodeoxyribonuclease V 67K chain
PIRSF000983	exodeoxyribonuclease VIII
PIRSF000984	phage T7 exodeoxyribonuclease
PIRSF000985	herpesvirus exonuclease
PIRSF000986	human cytomegalovirus alkaline exonuclease
PIRSF000987	ribonuclease D
PIRSF000988	deoxyribonuclease I
PIRSF000990	type I site-specific deoxyribonuclease EcoK chain R
PIRSF000991	type I site-specific deoxyribonuclease EcoK chain S
PIRSF000992	type I site-specific deoxyribonuclease EcoA chain S
PIRSF000993	type II site-specific deoxyribonuclease PstI
PIRSF000994	type II restriction endonuclease, XhoI type
PIRSF000995	type II restriction endonuclease, EcoRV type
PIRSF000997	type II restriction endonuclease, MunI type
PIRSF000998	homing endonuclease, I-CeuI type
PIRSF000999	phage T7 exodeoxyribonuclease I
PIRSF001000	pyrimidine dimer DNA glycosylase, endonuclease V type
PIRSF001001	GTPase subunit of restriction endonuclease
PIRSF001002	type II restriction endonuclease, EcoRI type
PIRSF001003	type II restriction endonuclease, HhaII type
PIRSF001005	ribonucleate/deoxyribonucleate 3'-nucleotidohydrolase, Staphylococcal type
PIRSF001006	cloacin DF13 protein
PIRSF001007	crossover junction endodeoxyribonuclease, RusA type
PIRSF001009	ribonuclease H, prokaryotic type
PIRSF001011	bacterial ribonuclease P, protein component
PIRSF001013	ribonuclease, barnase type
PIRSF001014	guanyl-specific ribonuclease, RNase T1 type
PIRSF001015	pyrimidine-specific ribonuclease/angiogenin
PIRSF001016	ribonuclease, RNase T2 type
PIRSF001017	tRNA nucleotidyltransferase
PIRSF001018	nuclease NUC1
PIRSF001019	alpha-amylase
PIRSF001021	alpha-amylase, thermostable type
PIRSF001022	cyclomaltodextrin glucanotransferase/alpha-amylase
PIRSF001023	glycosyltransferase
PIRSF001024	alpha-amylase, fungal type
PIRSF001026	cyclomaltodextrinase
PIRSF001028	alpha-amylase, plant type
PIRSF001029	amylase A
PIRSF001030	beta-amylase
PIRSF001031	glucan 1,4-alpha-glucosidase with starch-binding domain
PIRSF001032	yeast glucan 1,4-alpha-glucosidase STA1
PIRSF001033	glucan 1,4-alpha-glucosidase, yeast type
PIRSF001036	Schwanniomyces glucan 1,4-alpha-glucosidase GAM1
PIRSF001037	glucan 1,4-alpha-glucosidase
PIRSF001038	cellulase A
PIRSF001040	cellulase B
PIRSF001042	cellulase egl
PIRSF001043	endoglucanase B
PIRSF001044	cellulase III
PIRSF001045	endo-1,4-beta-xylanase A
PIRSF001048	exoglucanase/endo-1,4-beta-xylanase A/
PIRSF001050	xylanase
PIRSF001053	endo-1,4-beta-xylanase
PIRSF001054	endo-1,4-beta-xylanase E
PIRSF001056	endo-1,4-beta-xylanase B
PIRSF001060	Endochitinase
PIRSF001061	chitinase-like protein
PIRSF001062	chitinase ChiA
PIRSF001065	lysozyme g
PIRSF001067	phage lysozyme
PIRSF001068	lysozyme
PIRSF001069	lytic enzyme (protein P15), bacteriophage PRD1 type
